"referee","games","name","value","perGame","league_average","zscore","avg_zscore","refDuplicate"
"Kevin Cutler",43,"Personal",158,3.67441860465116,4.22352125520297,-0.130010627950639,-0.111405402964357,"Kevin Cutler"
"Karl Lane",52,"Personal",191,3.67307692307692,4.22352125520297,-0.130328296903433,-0.0743947520423768,"Karl Lane"
"Kevin Cutler",43,"Technical",9,0.209302325581395,0.240835552386347,-0.130932607301956,-0.111405402964357,"Kevin Cutler"
"Bill Kennedy",43,"Personal",157,3.65116279069767,4.22352125520297,-0.135516889799053,-0.321515362565038,"Bill Kennedy"
"Tom Washington",34,"Loose ball",20,0.588235294117647,0.681468775345121,-0.136812550480037,-0.0479063795865843,"Tom Washington"
"Pat Fraher",22,"All fouls",257,11.6818181818182,13.5725279707713,-0.139304173329006,-0.15806797374981,"Pat Fraher"
"Zach Zarba",53,"Off. charge",17,0.320754716981132,0.37304410415833,-0.140169450728016,-0.14755039031027,"Zach Zarba"
"Brent Barnaky",45,"All fouls",525,11.6666666666667,13.5725279707713,-0.140420510328579,-0.229260187984232,"Brent Barnaky"
"Ken Mauer",48,"Loose ball",28,0.583333333333333,0.681468775345121,-0.144005779226037,0.0206302978184057,"Ken Mauer"
"Tre Maddox",36,"Loose ball",21,0.583333333333333,0.681468775345121,-0.144005779226037,-0.219705369901467,"Tre Maddox"
"Bill Kennedy",43,"Loose ball",25,0.581395348837209,0.681468775345121,-0.146849613846549,-0.321515362565038,"Bill Kennedy"
"Ed Malloy",44,"Off. charge",14,0.318181818181818,0.37304410415833,-0.147066487219503,-0.164431122256461,"Ed Malloy"
"Dedric Taylor",54,"Off. charge",17,0.314814814814815,0.37304410415833,-0.156092238677497,-0.155577317633578,"Dedric Taylor"
"Dedric Taylor",54,"Loose ball",31,0.574074074074074,0.681468775345121,-0.157592989079592,-0.155577317633578,"Dedric Taylor"
"Josh Tiven",54,"Loose ball",31,0.574074074074074,0.681468775345121,-0.157592989079592,-0.127243121114654,"Josh Tiven"
"Derrick Collins",50,"Def. 3 secs",5,0.1,0.118978400034626,-0.159511306498515,-0.137333094852853,"Derrick Collins"
"Marc Davis",56,"Loose ball",32,0.571428571428571,0.681468775345121,-0.161475049037751,-0.155074304941386,"Marc Davis"
"Dedric Taylor",54,"Offensive",4,0.0740740740740741,0.0885186864460105,-0.163181503837006,-0.155577317633578,"Dedric Taylor"
"James Williams",45,"Off. charge",14,0.311111111111111,0.37304410415833,-0.166020565281291,0.110649740540963,"James Williams"
"Karl Lane",52,"All fouls",587,11.2884615384615,13.5725279707713,-0.168285999279466,-0.0743947520423768,"Karl Lane"
"Sean Wright",45,"Technical",9,0.2,0.240835552386347,-0.169557824755203,0.0871244013820671,"Sean Wright"
"Kevin Cutler",43,"All fouls",484,11.2558139534884,13.5725279707713,-0.170691415944915,-0.111405402964357,"Kevin Cutler"
"Karl Lane",52,"Shooting",279,5.36538461538461,6.52798952723841,-0.178095400889165,-0.0743947520423768,"Karl Lane"
"Ben Taylor",49,"Off. charge",15,0.306122448979592,0.37304410415833,-0.179393413359871,0.477745758715786,"Ben Taylor"
"Bill Kennedy",43,"All fouls",474,11.0232558139535,13.5725279707713,-0.187825890822086,-0.321515362565038,"Bill Kennedy"
"Tony Brothers",47,"Loose ball",26,0.553191489361702,0.681468775345121,-0.188236483642929,0.355937372199893,"Tony Brothers"
"Brian Forte",52,"Def. 3 secs",5,0.0961538461538462,0.118978400034626,-0.191837794710111,-0.118729547251908,"Brian Forte"
"Marc Davis",56,"Offensive",4,0.0714285714285714,0.0885186864460105,-0.19306787869997,-0.155074304941386,"Marc Davis"
"Pat Fraher",22,"Loose ball",12,0.545454545454545,0.681468775345121,-0.199589819536035,-0.15806797374981,"Pat Fraher"
"Brian Forte",52,"Technical",10,0.192307692307692,0.240835552386347,-0.201497908418464,-0.118729547251908,"Brian Forte"
"Karl Lane",52,"Technical",10,0.192307692307692,0.240835552386347,-0.201497908418464,-0.0743947520423768,"Karl Lane"
"Brent Barnaky",45,"Personal",151,3.35555555555556,4.22352125520297,-0.205507595961111,-0.229260187984232,"Brent Barnaky"
"Zach Zarba",53,"Def. 3 secs",5,0.0943396226415094,0.118978400034626,-0.207086138206147,-0.14755039031027,"Zach Zarba"
"Kevin Cutler",43,"Loose ball",23,0.534883720930233,0.681468775345121,-0.215101644738825,-0.111405402964357,"Kevin Cutler"
"Bill Kennedy",43,"Shooting",217,5.04651162790698,6.52798952723841,-0.226942444247173,-0.321515362565038,"Bill Kennedy"
"Dedric Taylor",54,"Technical",10,0.185185185185185,0.240835552386347,-0.231072059958521,-0.155577317633578,"Dedric Taylor"
"John Goble",49,"Technical",9,0.183673469387755,0.240835552386347,-0.23734902273437,-0.0916506103157963,"John Goble"
"Sean Wright",45,"Offensive",3,0.0666666666666667,0.0885186864460105,-0.246863353453306,0.0871244013820671,"Sean Wright"
"Eric Lewis",50,"Off. charge",14,0.28,0.37304410415833,-0.249418508753162,0.0161345091819935,"Eric Lewis"
"Kevin Cutler",43,"Shooting",210,4.88372093023256,6.52798952723841,-0.251879784755329,-0.111405402964357,"Kevin Cutler"
"Courtney Kirkland",45,"Personal",142,3.15555555555556,4.22352125520297,-0.252861447857469,-0.028034642381387,"Courtney Kirkland"
